Item,Category,Brand,Model,ASSESSMENT,"Repair status","Spare parts",Event,Group,Date,"Waste prevented","CO2 emissions prevented",POWERED
"Sewing machine","Sewing machine",Singer,,"Bobbin pickup issue. The tension on the bobbin was too tight. The bobbin tension needed adjusting to even the stitching.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,8.6,17.5,Powered
Lawnmower,Misc,Flymo,,"Cable was split when run over by the blades. Cable patched and sealed.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,005.000,80.166980825,Powered
Turntable,"Hi-Fi separates",Technics,,"Powers on but not functioning.",Repairable,,"We Are 336","Repair Café Lambeth",2023-06-03,0,0,Powered
Blender,"Small kitchen item",Vitamix,,"Not powering on.",Repairable,,"We Are 336","Repair Café Lambeth",2023-06-03,0,0,Powered
teapot,Misc,,,"Metal teapot with broken handle. Requires welding.",Repairable,,"We Are 336","Repair Café Lambeth",2023-06-03,0,0,Unpowered
"Wind-up musical compact case",Misc,,,"Vintage powder compact with internal mechanical wind-up music device. Music not working. Removed screws on the back but could not get to mechanism in the time left.",Repairable,,"We Are 336","Repair Café Lambeth",2023-06-03,0,0,Unpowered
"Carriage clock",Furniture,,,"Vintage wind-up carriage clock. Had not worked for some time. Opened back and found that main spring was run down. Wound it carefully but still not working. May need complete dismantle.",Repairable,,"We Are 336","Repair Café Lambeth",2023-06-03,0,0,Unpowered
Suitcase,Misc,,,"Broken handle reattached.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,001.000,8.850735295,Unpowered
Quilt,Clothing/textile,,,"Managed to repair the back of the quilt. Somebody sewed two beautiful butterflies onto the front of the quilt.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,002.000,17.70147059,Unpowered
"Leather jacket",Clothing/textile,,,"Got very useful advice on fixing the leather jacket.",Repairable,,"We Are 336","Repair Café Lambeth",2023-06-03,0,0,Unpowered
trousers,Clothing/textile,,,"Mending. Fixed beautifully.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,000.500,4.4253676475,Unpowered
"Bed cover",Clothing/textile,,,"Mending required. Repaired patchwork bed cover.",N/A,,"We Are 336","Repair Café Lambeth",2023-06-03,0,0,Unpowered
Backpack,Clothing/textile,,,"Broken strap reattached.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,000.500,4.4253676475,Unpowered
"Toaster oven","Small kitchen item",Toshiba,,"Not powering on, timer switch needs replacing",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
Heatpad,Misc,,,"Not powering on after been in washing machine. Internal wiring too dangerous to make safe.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
"Portable radio","Portable radio",,,"Powers on briefly",Repairable,,"We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
toaster,Toaster,M&S,,"One side not staying down, other side not heating properly. Too old and worn out to fix well.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
Kindle,Tablet,Amazon,,"No power, not charging. New charger cable?",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
"External hard drive","PC accessory",Seagate,,"Powers on but led not lit. Drive is not recognised by OS. Probably fixable next time.",Repairable,,"We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
Vacuum,Vacuum,Dyson,,"Broken trigger was replaced using new trigger brought by client and the device functions except the trigger itself does not get to the position ""off"" - it remains ""on"" all the time.",Fixed,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-07-01,6.8,18.005,Powered
"coffee maker","Coffee maker","Russell Hobbs",,"Switches on but not making coffee. Blockage? Found stuck pin refill.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,1.28,8.75,Powered
Blender,"Small kitchen item",,,"Blades loose. Needs a new gromet.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
"tower fan",Fan,Honeywell,,"Has 3 settings but only 1 setting works. Makes a loud noise when working. Rubber washer was perished and replaced with glue.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,3.9,7.8,Powered
"Vacuum cleaner",Vacuum,Numatic,,"Not switching on. Needs replacement thermal cut-out.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
"Digital radio","Portable radio",Bush,,"Does not power on. Faulty AC power board replaces with DC 5v USB to circuit board.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,2.06,27.325,Powered
Lamp,Lamp,,,"Cable detached from plug. Needs new cable.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
"Digital radio","Portable radio",DAB,,"Not powering on.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
"Neck massager","Hair & beauty item","Sharper Image",,"Switches on but not vibrating.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
"Power Adaptor",Misc,,,"Needs plug fitted.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
"Sewing machine","Sewing machine",Silvercrest,,"Broken bobbin case, need replacement.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
Iron,Iron,Breville,,"Working but possibly not safe. Plug replaced and tested.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,1.17,5.5,Powered
"Hair dryer","Hair & beauty item",Primark,,"Plug replacement.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,0.67,5.14,Powered
"CD player","Hi-Fi separates",Panasonic,,"Try gets stuck, not ejecting. Tray re-aligned.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,8.72,61.93,Powered
"Radio cassette player","Hi-Fi separates",Panasonic,,"Radio works but cassette player not turning tapes. Blown motor.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
"Portable hi-fi","Hi-Fi integrated",Philips,A21005,"CD not spinning, skipping.
Sticking lazer mechanism. Dry joint on speakers.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,8.95,93.25,Powered
Lamp,Lamp,,,"Not switching on. Fuse replaced.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,2.68,7.48,Powered
"Child's electric car",Toy,,Mercedes,"Found in dump. Electrics not working. Needs new battery.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
Bike,Bicycle,Apollo,,"Mudguard and chain came off. Possible tyre puncture.

Tyres pumped up, brakes and gears adjusted, cleaned and oiled chain. Recommend new brake blocks.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,15.1,74.8,Unpowered
Chair,Furniture,,,"Broken leg. Cleaned joint in wood, needs wood glue. Shown how to sand joint, clean and then glue.",Repairable,,"We Are 336","Repair Café Lambeth",2023-07-01,0,0,Unpowered
"Wicker basket",Misc,,,"Hoop that holds the liner inside the rim has snapped. Could replace hoop but there are several alternative fixes such as buttons and loops that could be attached.",Repairable,,"We Are 336","Repair Café Lambeth",2023-07-01,0,0,Unpowered
Stool,Furniture,,,"Broken strut glued back in place.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,005.000,44.253676475,Unpowered
Metronome,Misc,Cherub,,"Not oscillating.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,000.500,4.4253676475,Unpowered
Binoculars,Misc,,,"Eye piece broken. Small screws holding eye piece undone so tightened up and refitted eyepiece.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,000.300,2.6552205885,Unpowered
Loppers,"Hand tool",,,"Mechanism was obstructed. Freed and oiled all parts. Now moving freely.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,001.000,8.850735295,Unpowered
Pyjamas,Clothing/textile,"Jack Wills",,"Used tape on reverse to strengthen repair seam on waistband, gusset and front leg. Used zig zag to link frayed edges.",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,000.200,1.770147059,Unpowered
"Leather jacket",Clothing/textile,,,"Pocket repairs",Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,002.000,17.70147059,Unpowered
Sunglasses,Misc,,,"Clip broken. Replaceable.",Repairable,,"We Are 336","Repair Café Lambeth",2023-07-01,0,0,Unpowered
Waistcoat,Clothing/textile,,,Alteration,Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,0.75,10.16,Unpowered
iPhone,Mobile,Apple,6,"Battery expanded. Battery removed safely.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
iPhone,Mobile,Apple,6,"Battery expanded. Battery removed safely.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-07-01,0,0,Powered
"Digital Camera","Digital compact camera",,,,Fixed,,"We Are 336","Repair Café Lambeth",2023-07-01,0.48,14.865,Powered
Laptop,"Laptop medium",HP,,"Sound only through headphones. One camera not working. Seems that speakers are a hardware issue. Intel device driver, update drivers.",Repairable,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
Iron,Iron,"Morphy Richards",Harwood,"Flex (lead) worn. Need replacement flex.",Repairable,"Parts required - from 3rd party","Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
"Gaming theatre speakers","Hi-Fi separates","Altec Lansing",,"White noise in left speaker. During the test power-on, the noise did not appear. Opening the compartment of the amp and inspection did not show any sign that might be the cause.",Repairable,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
"Stereo player","Hi-Fi integrated",Philips,AZ1518/00,"Cassette player plays tapes slowly. CD player not recognising CD. Unable to fix due to not being able to open the unit. Recommend CD drive cleaning kit to clean optical sensor in the drive bay. For tape deck, clean gears and sensor is clear of debris.",Repairable,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
Lamp,Lamp,,,"Flickering. Dodgy light switched partially fixed by cleaning contacts but suggest new switch to replace.",Fixed,,"Coin Street","Repair Café Lambeth",2023-08-05,2.68,7.48,Powered
"Vaccum cleaner",Vacuum,Dyson,,"Not powering on. Fuse checked, OK. Switch?",Repairable,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
"Sewing machine","Sewing machine",Janome,,"Not sewing properly. Tension needed adjusting.",Fixed,,"Coin Street","Repair Café Lambeth",2023-08-05,8.6,17.5,Powered
"Kitchen mixer","Small kitchen item",Kenwood,,"Fell and now shorts the kitchen circuit. Disassembled, examined, found no obvious. Shorts found measuring with tester.",Repairable,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
"Clock battery operated",Watch/clock,,,"Disassembled and reassembled, working.",Fixed,,"Coin Street","Repair Café Lambeth",2023-08-05,1.3,14.145,Powered
"Food processor","Small kitchen item",Kenwood,,"Not powering on. Fuse changed. Broken jug responsible for inadequate electrical contact. Suggest acquire new jug.",Repairable,"Parts required - from manufacturer","Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
Headphones,Headphones,Yoto,,"Broken join in headphones. Advised on glue.",Repairable,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
"CD player","Hi-Fi separates",Denon,,"No power. Continuity test to switch. Most probably transformer. will go to Richer Sounds.",Repairable,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
"Sewing machine","Sewing machine",AEG,,"Rotary/belt issue. Timing not working. Not sure how to adjust correctly.",Repairable,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
Iron,Iron,Judge,,"Intermittent power. Cuts out and doesn't come back on. Not sure whether sorted. Taken thermostat knob off and on again. Which seems to a possible fix.",Repairable,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
"hair straighteners","Hair & beauty item",Babyliss,,"Power on but not always staying on. Loose wire/bad contact. Maybe needs soldering.",Repairable,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
Shredder,"Paper shredder",Fellowes,,"Did not work correctly. Would not reverse shred. Disassembling and cleaning helped.",Fixed,,"Coin Street","Repair Café Lambeth",2023-08-05,3.8,29.75,Powered
Blender,"Small kitchen item",Nutribullet,,"Powers on but push-start doesn't work. Freed up.",Fixed,,"Coin Street","Repair Café Lambeth",2023-08-05,2.95,15.45,Powered
Tablet,Tablet,Linx,,"Unable to test without charging cable.",Repairable,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
"Mobile phone",Mobile,Samsung,"Galaxy 4","Not sure, needs charging cable.",Repairable,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Powered
Umbrella,Misc,,,"Slider broken. Umbrella wrecked sufficiently to work again!",Fixed,,"Coin Street","Repair Café Lambeth",2023-08-05,000.300,2.6552205885,Unpowered
"Assorted textiles",Clothing/textile,,,"Hems and adjustments",Fixed,,"Coin Street","Repair Café Lambeth",2023-08-05,000.300,2.6552205885,Unpowered
Jeans,Clothing/textile,,,"Hole patched",Fixed,,"Coin Street","Repair Café Lambeth",2023-08-05,0.75,10.16,Unpowered
"Cabin bag",Misc,,,"Wear and tear",End-of-life,,"Coin Street","Repair Café Lambeth",2023-08-05,0,0,Unpowered
"Trousers and dress",Clothing/textile,,,Hemmed,Fixed,,"Coin Street","Repair Café Lambeth",2023-08-05,0.75,10.16,Unpowered
"Bathroom scales",Misc,,,"Not weighing accurately. Very old, too hard to open.",End-of-life,"No spare parts required","Coin Street","Repair Café Lambeth",2023-08-05,0,0,Unpowered
Jacket,Clothing/textile,,,"Sleeves to be shortened",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,0.75,10.16,Unpowered
Bike,Bicycle,,,"The stem length has been extended and is causing movement. I have advised reducing the stem extension height. Also adjusting the stem bott to decrease the movement and play.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-09-02,0,0,Unpowered
Jeans,Clothing/textile,,,"Torn jeans that need patching.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,0.75,10.16,Unpowered
Blanket,Clothing/textile,,,"Crocheted blanket with much wear and tear.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-09-02,0,0,Unpowered
Camera,Misc,Pentax,K1000,"Light meter does not work. Battery and contacts cleaned and checked OK. Fault is internal to camera. Would need specialist repair. Camera is functional but would need external light meter for best results.",Repairable,,"We Are 336","Repair Café Lambeth",2023-09-02,0,0,Unpowered
Coat,Clothing/textile,,,"Putting hook and eyes or anything you have to keep my coat closed.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,0.75,10.16,Unpowered
Violin,Misc,,,"Broken neck. Special adhesive required.",Repairable,,"We Are 336","Repair Café Lambeth",2023-09-02,0,0,Unpowered
"Vacuum Cleaner",Vacuum,Miele,,"Brush not spinning. Roller drive part welded together due to friction. Bearing at other end molten. Replacement bearing not fitting.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
"Hedge Trimmer","Power tool",Bosch,,"Cable cut through. Inline mains connector needed. Owner happy to DIY.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
"Radio cassette","Portable radio",Panasonic,,"Needs new motor. Advised on motor model and to come back next month.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
Laptop,"Laptop medium",Lenovo,,"New screen but not working. Battery is OK.",Repairable,,"We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
Laptop,"Laptop medium",MSI,,"Hinge has come away from plastic base. Metal inserts require glue.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,1.83,132.66,Powered
"Digital scales","Small kitchen item",,,"Rechargeable scales not responding. Power cable appear to be lower voltage than required, 6v instead of 9v. Please refer to manual/manufacturer for data on correct specification of battery and charger. One of the screws on top of the device is completely stripped.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
Boombox,"Hi-Fi separates",,,"Won't charge, charger broken.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
Heatpad,Misc,Dreamland,,"Wired. Not powering on. Housing has come apart. System glued back together.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
"Mobile phone",Mobile,Apple,"iPhone X","Very broken and falling apart. Front sensor needs to be replaced. Battery removed as it is dangerous.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
"Alarm clock",Watch/clock,,,"Alarm not working properly. One of two batteries was clearly under voltage. Recommended replacement. Also showed use of alarm function on smart phone.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,1.3,14.145,Powered
"Hand Mixer","Small kitchen item",,,"Intermittent fault. Appears to be related to power cord around strain relief sleeve which is damaged. But, on examination the neutral wire was loose in the plug. This was tightened.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,2.95,15.45,Powered
"Desk lamp",Lamp,,,"Goose neck was loose in base. Base disassembled and goose neck retaining nut tightened. Lamp hood retaining plug also tightened. Reassembled and function confirmed.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,2.68,7.48,Powered
"Vacuum cleaner",Vacuum,Miele,S2111,"No signs of life.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
"CD Player","Hi-Fi separates",Kenwood,,"Tray not opening or closing. Magic touch fixed it.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,8.72,61.93,Powered
Toaster,Toaster,,,"Faulty switch.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
"Digital radio","Portable radio",Majority,,"Power lead not working. Polarity problem in bayonet plug. Reversed and working.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,2.06,27.325,Powered
"Turntable and amplifier","Hi-Fi integrated",,,"Turntable motor overheated. Amplifier is probably working OK.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
Iron,Iron,Philips,,"Blown 3Amp main fuse. Replaced OK.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,1.17,5.5,Powered
"CD cassette/radio","Portable radio",Philips,,"Not playing CDs. Could not gain access to internals. Client happy to listen to radio instead. Radio working OK.",End-of-life,"No spare parts required","We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
Juicer,"Small kitchen item",Nuo,,"Not rotating when turned on. Burnt brushes, loose connections, need cleaning.",Repairable,,"We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
Kettle,Kettle,Bosch,,"Spring stock screws removed but couldn't open it further.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
Dress,Clothing/textile,,,"Dress shortened.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,0.75,10.16,Unpowered
Lamp,Lamp,,,"Fuse changed.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,2.68,7.48,Powered
Jacket,Clothing/textile,,,"Ripped seam stitched.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,0.75,10.16,Unpowered
Trousers,Clothing/textile,,,"Took in waste.",Fixed,,"We Are 336","Repair Café Lambeth",2023-09-02,0.75,10.16,Unpowered
"Table Lamp",Lamp,Woolworths,,"Fuse changed. No power going through blue cable to switch.",Repairable,,"We Are 336","Repair Café Lambeth",2023-09-02,0,0,Powered
blind,Misc,Ikea,,"Removed broken slats and replaced with unused slats from bottom of blind (unused portion)",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,007.000,61.955147065,Unpowered
"Propping stool",Furniture,,,"Plastic clip on seat broken making stool unsafe. Needs new clip. Advised buy 12mm clip and fix self.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-10-07,0,0,Unpowered
Drum,Misc,Mapex,,"Bracket is loose. Fixed with superglue and piece of stiff leather.",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Unpowered
"Brass holderq",Misc,,,"Handle broken. Soldered and saved!",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Unpowered
Suitcase,Misc,Revolutra,Reodation,"Broken wheel. Accessed wheel fixture from inside. Found it's easy to unscrew. Recommended contacting manufacturer for replacement wheel.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-10-07,0,0,Unpowered
Trousers,Clothing/textile,,,"Needs shortening and hem.",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,0.75,10.16,Unpowered
Trousers,Clothing/textile,,,"Crotch blowout needs sewing.",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,0.75,10.16,Unpowered
Garment,Clothing/textile,,,Seam,Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,0.75,10.16,Unpowered
Skirt,Clothing/textile,,,"We agreed that customer is taking the skirt apart at home and we'll sew it for her once she puts the extensions of material in place.",Repairable,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Unpowered
Umbrella,Misc,,,"Many broken struts.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Unpowered
Umbrella,Misc,,,"Locked open. Previous repairs - broken plastic parts. Not glue-able - would not be strong enough. Could be held open with a clothes peg?",End-of-life,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Unpowered
Trousers,Clothing/textile,,,"Woolen trousers need enlarging at the waist. Side seams opened up and new piece (from trouser turn ups) used to fit inserts. Trouser hems re-sewn.",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,0.75,10.16,Unpowered
"Robot hoover",Vacuum,Neato,Botvac,"Hoover get stuck in process checking its components. Dismantled and possible fault in lidar sensor identified. Not possible to repair without spare parts.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
"Mobile Phone",Mobile,Huawei,P20,"Touch button not responding. Occasional ""fits"" where apps won't stay open. Potentially due to dust inside? No repair attempted, missing tools (heat bed/gun). Possible software fault.",Repairable,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
Radio,"Portable radio",Pure,"Evoke H3","Volume/sound doesn't work. Opened up but no visible fault. Software or motherboard issue.",Repairable,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
"Vacuum cleaner",Vacuum,Hoover,Breeze,"Damaged cable.",Repairable,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
Laptop,"Laptop medium",Dell,Inspiron,"Works on mains power. When battery in use error code comes on screen and takes a long time to open. PSU tested on 2nd laptop and OK. Amber + white LED code is battery. Sourced new battery on eBay.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
"Nintendo DS","Handheld entertainment device",Nintendo,DS,"Screen off, turns on for 1 second, blue light and then off. 2 screws rounded had to break back panel. F2 to replace. Maybe water damage. Needs time and maybe spare parts.",Repairable,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
"Coffe machine","Coffee maker",DeLonghi,"Lattissima Plus","Lights up but that's all. Possible scaled up. Customer will contact DeLonghi for advice.",Repairable,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
"Nespresso Vertuo Pop","Coffee maker",Nespresso,"Virtuo Pop","Switches on but showing red light and nothing else happens. Possibly scaled up. Customer will contact manufacturer for advice.",Repairable,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
"Handheld vacuum",Vacuum,Lidl,,"Does not charge. Disassembled and contacts cleaned. Now OK.",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,6.8,18.005,Powered
Blender,"Small kitchen item",Silvercrest,,"Rubber seal at bottom has disintegrated and was contaminating the food. Customer is trying to source a spare. Unsuccessfully so far. 6 years old.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
Laptop,"Laptop medium",HP,,"Microsoft issue. Files mysteriously disappearing. MS issue Jan/Feb?",Repairable,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
CD/Radio,"Hi-Fi separates",,,"CD not working. Turned the volume up and it's all good!",Fixed,,"We Are 336","Repair Café Lambeth",2023-10-07,8.72,61.93,Powered
Blender,"Small kitchen item",Bamix,,"The blade does not spin. Motor turns, but tool shaft doesn't. Can't get shaft out to diagnose further. Bamix appear to stand by their products so recommend approaching Bamix for further guidance.",Repairable,,"We Are 336","Repair Café Lambeth",2023-10-07,0,0,Powered
